symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used,is_holiday_ar,holiday_name_ar,is_holiday_eu,holiday_name_eu,is_holiday_asia,holiday_name_asia,is_good_friday,liquidity_mode,ai_trade_decision,ai_context_risk,trade_filter_reason
TRUUSDT,28.5714285714285,0.0038313767404140595,0,-9.400000000000033e-05,0,-4.009638554200011,1775536584,4,1,0.8,bear,mean_reversion,normal,0.00017142857142857126,medium,asia,0,,live_ai_risk_v1,-4.009638554200011,0.16640000000000021,0.16239036144580019,0.3287903614458004,-4.338428915645811,1.2048192771084265,-2.409638554216874,0.02,0,,0,,0,,0,normal,1,normal,ok
SUPERUSDT,28.94736842105263,0.17618908778401493,0,-5.6000000000000494e-05,0,-1.4301163835999913,1775538877,5,1,0.8,bear,mean_reversion,normal,0.0007071428571428566,low,asia,0,,live_ai_risk_v1,-1.4301163835999913,0.13312000000000015,0.13168988361640016,0.26480988361640034,-1.6949262672163916,0.0,-1.0743061772605127,0.02,0,,0,,0,,0,normal,0,normal,ok
PAXGUSDT,29.22286448297986,0.6912212586191933,0,-16.423399999999674,1,0.3684528100000126,1775539835,5,1,0.8,bear,mean_reversion,normal,4.360714285714299,low,asia,0,,live_ai_risk_v1,0.3684528100000126,0.13312000000000015,0.13348845281000016,0.26660845281000034,0.10184435719001228,0.5247312946623066,-0.00433483101744592,0.02,0,,0,,0,,0,normal,0,normal,ok
AVAXUSDT,16.666666666667155,5.121810012488397,0,-0.11260000000000048,0,-1.1416942600000046,1775540675,5,1,0.8,bear,mean_reversion,normal,0.0314285714285719,low,asia,0,,live_ai_risk_v1,-1.1416942600000046,0.13977600000000015,0.13863430574000016,0.2784103057400003,-1.4201045657400049,0.0,-0.8168028004667477,0.02,0,,0,,0,,0,normal,0,normal,ok
PEPEUSDT,0.0,0.11317907655799997,1,4.599999999999922e-09,0,-0.6655999999999936,1775540872,5,1,0.8,sideways,mean_reversion,conservative,1.142857142857132e-08,low,asia,0,,live_ai_risk_v1,-0.6655999999999936,0.11182080000000014,0.11115520000000013,0.22297600000000029,-0.8885759999999939,0.0,-0.5952380952380896,0.01,0,,0,,0,,0,normal,1,conservative,ok
BTCUSDT,23.713651757559063,2.7064448733923294,0,-36.03080000000773,0,-0.22183829999999302,1775541831,6,1,0.8,bear,mean_reversion,normal,62.434999999999754,low,asia,0,,live_ai_risk_v1,-0.22183829999999302,0.11741184000000013,0.11719000170000014,0.23460184170000026,-0.45644014169999325,0.0,-0.18896339021849856,0.02,0,,0,,0,,0,normal,0,normal,ok
STOUSDT,27.46478873239434,2.29455825193858,0,-0.007179999999999992,1,0.570866356200005,1775542416,6,1,0.8,bear,mean_reversion,normal,0.0017214285714285662,medium,asia,0,,live_ai_risk_v1,0.570866356200005,0.11629363200000012,0.11686449835620012,0.23315813035620025,0.3377082258438048,2.2440392706872427,0.0,0.02,0,,0,,0,,0,normal,0,normal,ok
XRPUSDT,17.499999999999915,0.05769242537637414,0,-0.005600000000000049,1,0.20458793019999721,1775542604,6,1,0.8,bear,mean_reversion,normal,0.0018500000000000183,low,asia,0,,live_ai_risk_v1,0.20458793019999721,0.11651727360000012,0.11672186153020012,0.23323913513020023,-0.02865120493020301,0.42751355065270835,-0.22902511642110954,0.02,0,,0,,0,,0,normal,1,normal,ok
ESPUSDT,25.38260544979464,2.350665608026536,1,0.005417399999999989,0,-2.7053812789999956,1775546860,7,1,0.8,bull,mean_reversion,aggressive,0.005032857142857144,high,asia,0,,live_ai_risk_v1,-2.7053812789999956,0.11647254528000013,0.11376716400100015,0.2302397092810003,-2.935620988280996,0.0,-2.3227630781660236,0.025,0,,0,,0,,0,normal,0,aggressive,ok
ESPUSDT,19.756738987508186,3.6207182055575147,0,-0.0015148000000000245,0,-5.224123423469993,1775547825,7,1,0.8,sideways,mean_reversion,conservative,0.004845,high,asia,0,,live_ai_risk_v1,-5.224123423469993,0.16640000000000021,0.1611758765765302,0.3275758765765304,-5.551699300046524,1.3701585931600035,-3.139497248894159,0.01,0,,0,,0,,0,normal,0,conservative,ok
STOUSDT,29.35779816513771,0.012456004835915946,0,-0.007839999999999986,0,-2.298474820800013,1775548209,7,1,0.8,bear,mean_reversion,normal,0.0014642857142857135,medium,asia,0,,live_ai_risk_v1,-2.298474820800013,0.13312000000000015,0.13082152517920015,0.26394152517920033,-2.562416345979213,0.5755395683453202,-1.7266187050359805,0.02,0,,0,,0,,0,normal,0,normal,ok
STOUSDT,23.770491803278475,0.06320038614597906,0,-0.007386000000000004,0,-1.5709513429999946,1775550312,8,1,0.8,bear,mean_reversion,normal,0.001592857142857142,medium,europe,0,,live_ai_risk_v1,-1.5709513429999946,0.16640000000000021,0.1648290486570002,0.3312290486570004,-1.902180391656995,0.7262164124909231,-1.7429193899782032,0.02,0,,0,,0,,0,normal,1,normal,ok
TRXUSDT,28.571428571429138,1.6365684356466803,0,-0.00026199999999998447,0,-0.08422651059999071,1775550882,8,1,0.8,sideways,mean_reversion,conservative,0.00022142857142857877,low,europe,0,,live_ai_risk_v1,-0.08422651059999071,0.13312000000000015,0.13303577348940016,0.26615577348940034,-0.35038228408939104,0.06327111673522097,-0.06327111673520341,0.01,0,,0,,0,,0,normal,0,conservative,ok
REDUSDT,28.179190751445077,1.1946338636934526,1,0.014397999999999994,1,5.324800003200008,1775552226,8,1,0.8,bull,mean_reversion,aggressive,0.011557142857142854,high,europe,0,,live_ai_risk_v1,5.324800003200008,0.10649600000000012,0.11182080000320013,0.21831680000320025,5.106483203196808,5.000000000000007,0.0,0.025,0,,0,,0,,0,normal,0,aggressive,ok
TRXUSDT,28.00000000000071,12.254112934640624,0,-0.0009899999999999909,0,-0.08444021560001413,1775554489,9,1,0.8,sideways,mean_reversion,conservative,0.00029285714285715817,low,europe,0,,live_ai_risk_v1,-0.08444021560001413,0.13312000000000015,0.13303555978440013,0.2661555597844003,-0.35059577538441444,0.09514747859180682,-0.06343165239455549,0.01,0,,0,,0,,0,normal,0,conservative,ok
BANKUSDT,25.92592592592598,1.3174008247600784,0,-0.0028899999999999967,0,0.0,1775554492,9,1,0.8,bear,mean_reversion,normal,0.0006785714285714296,medium,europe,0,,live_ai_risk_v1,0.0,0.10649600000000012,0.10649600000000012,0.21299200000000024,-0.21299200000000024,2.046783625730992,-1.1695906432748668,0.02,0,,0,,0,,0,normal,0,normal,ok
PAXGUSDT,39.50617283950633,0.09352377077933226,1,17.88499999999931,0,-0.31107959999999446,1775554870,9,1,0.7,bull,trend,normal,5.348571428571437,low,europe,0,,live_ai_risk_v1,-0.31107959999999446,0.11847680000000015,0.11816572040000015,0.23664252040000028,-0.5477221203999947,0.0,-0.2625679748586827,0.02,0,,0,,0,,0,normal,1,normal,ok
PAXGUSDT,27.41894306867441,0.7731554592312452,1,5.786399999999048,0,-0.09120407999999815,1775555433,9,1,0.8,bull,mean_reversion,aggressive,6.268571428571444,low,europe,0,,live_ai_risk_v1,-0.09120407999999815,0.11847680000000015,0.11838559592000014,0.2368623959200003,-0.32806647591999843,0.2877041936434169,-0.07697914897185375,0.025,0,,0,,0,,0,normal,0,aggressive,ok
