symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,mfe_pct,mae_pct,dataset_version,result_net
NEIROUSDT,26.98412698412703,3.37635618768792,0,-6.671999999999993e-07,0.0,-0.437699,,,,,,,,,,,,,,,v1,
ARBUSDT,30.76923076923069,0.0243338796815844,0,-0.000672,0.0,-0.160698,,,,,,,,,,,,,,,v1,
AIXBTUSDT,24.999999999999787,4.35088723775845,0,-0.0003979999999999,0.0,-0.610964,,,,,,,,,,,,,,,v1,
RSRUSDT,20.33898305084757,0.7347512318637854,0,-4.377999999999999e-05,0.0,-0.930966,,,,,,,,,,,,,,,v1,
CETUSUSDT,31.78294573643417,2.3500800950125966,0,-0.0002955999999999,0.0,-0.410222,,,,,,,,,,,,,,,v1,
RIFUSDT,11.111111111111072,0.0886627586444776,0,-0.001286,1.0,0.856776,,,,,,,,,,,,,,,v1,
HBARUSDT,10.294117647058926,1.412045902970131,0,-0.0003184,1.0,0.0268,,,,,,,,,,,,,,,v1,
NILUSDT,54.545454545454376,3.580879603747019,1,0.0004299999999999,0.0,-0.845844,,,,,,,,,,,,,,,v1,
CETUSUSDT,39.71291866028706,1.95079417487518,0,-0.0004034,1.0,1.935366,,,,,,,,,,,,,,,v1,
CFGUSDT,31.73076923076933,2.8142719100861284,0,-0.0033979999999999,0.0,-2.009433,,,,,,,,,,,,,,,v1,
STGUSDT,42.85714285714285,1.8353344059351688,0,-0.0010519999999999,1.0,0.489735,,,,,,,,,,,,,,,v1,
ROBOUSDT,30.7692307692308,1.711673119049813,0,-0.0001429999999999,0.0,-2.034163,,,,,,,,,,,,,,,v1,
REZUSDT,20.00000000000017,1.243825568757544,0,-4.8799999999999885e-05,1.0,0.763625,,,,,,,,,,,,,,,v1,
ADAUSDT,29.090909090908823,2.735103519438125,0,-0.003808,0.0,-1.92926,,,,,,,,,,,,,,,v1,
TRXUSDT,36.17021276595747,3.2125660930656004,0,-0.0028199999999999,0.0,-0.896861,,,,,,,,,,,,,,,v1,
AIXBTUSDT,39.99999999999999,9.81359116446506,1,0.000146,1.0,1.300813,,,,,,,,,,,,,,,v1,
TRXUSDT,28.813559322034138,1.8284092169757469,0,-0.0035639999999999,1.0,0.323803,,,,,,,,,,,,,,,v1,
CHZUSDT,14.86486486486477,7.35750827354373,0,-0.0011415999999999,1.0,0.193716,,,,,,,,,,,,,,,v1,
FOGOUSDT,23.28767123287677,1.9602017411504744,0,-0.000521,1.0,0.965304,,,,,,,,,,,,,,,v1,
COSUSDT,31.707317073170582,0.5129132620429836,0,-5.038000000000004e-05,1.0,7.050777,,,,,,,,,,,,,,,v1,
MBLUSDT,42.85714285714264,2.336689791802386,0,-9.940000000000056e-06,0.0,-0.614902,,,,,,,,,,,,,,,v1,
FLOWUSDT,26.6666666666666,1.772121342549185,0,-0.0007612,0.0,-0.236141,,,,,,,,,,,,,,,v1,
SHIBUSDT,38.88888888888899,2.1099726332007123,0,-3.1399999999999394e-08,1.0,0.904808,,,,,,,,,,,,,,,v1,
CHZUSDT,26.966292134831647,2.0770390531069243,0,-0.0003507999999999,0.0,-0.432418,,,,,,,,,,,,,,,v1,
HBARUSDT,34.93449781659406,3.860616041318197,0,-0.0005389999999999,1.0,1.161709,,,,,,,,,,,,,,,v1,
SUNUSDT,29.62962962962925,2.792873200480075,0,-9.479999999999904e-05,0.0,-0.246159,,,,,,,,,,,,,,,v1,
FLOWUSDT,25.67567567567589,2.5565287587258214,0,-0.0006611999999999,0.0,-1.231766,,,,,,,,,,,,,,,v1,
PIXELUSDT,36.29629629629626,0.1843349779012274,0,-0.0002018,1.0,1.877167,,,,,,,,,,,,,,,v1,
COSUSDT,39.83739837398372,2.035504420986656,0,-1.1700000000000122e-05,1.0,0.55032,,,,,,,,,,,,,,,v1,
HUMAUSDT,26.31578947368395,1.432690507182235,0,-0.0004513999999999,1.0,0.180994,,,,,,,,,,,,,,,v1,
STRKUSDT,36.36363636363659,1.808845130148284,0,-0.000118,0.0,-0.505285,,,,,,,,,,,,,,,v1,
JASMYUSDT,17.647058823529306,1.277687223573673,0,-8.5e-05,1.0,2.189041,,,,,,,,,,,,,,,v1,
NEIROUSDT,33.08270676691724,2.076605438712647,0,-1.7360000000000118e-07,0.0,-0.37877,,,,,,,,,,,,,,,v1,
WUSDT,39.99999999999999,1.517714973016653,0,-7.799999999999994e-05,0.0,-0.929358,,,,,,,,,,,,,,,v1,
SIGNUSDT,40.6976744186047,1.8159599464462528,1,9.560000000000124e-05,0.0,-0.827795,,,,,,,,,,,,,,,v1,
LINEAUSDT,37.5,1.5159990998160455,0,-1.9200000000000036e-05,0.0,-0.945003,,,,,,,,,,,,,,,v1,
