2026-04-14 09:33:23 | SELL | BARDUSDT | reason=time_exit | price=0.325800 | qty=479.823136 | pnl=0.6238 | pnl_net=0.3117 | profit_pct=0.40% | time=120.1m
2026-04-14 09:36:00 | BUY | SUIUSDT | entry=0.943400 | qty=161.812714 | capital=152.65 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
2026-04-14 11:07:27 | SELL | DOTUSDT | reason=time_exit | price=1.177000 | qty=129.258156 | pnl=0.2585 | pnl_net=-0.0455 | profit_pct=0.17% | time=122.8m
2026-04-14 11:09:59 | BUY | NEARUSDT | entry=1.384000 | qty=110.187109 | capital=152.50 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 11:23:16 | SELL | WLDUSDT | reason=time_exit | price=0.312500 | qty=484.658556 | pnl=-0.4362 | pnl_net=-0.7395 | profit_pct=-0.29% | time=122.9m
2026-04-14 11:28:56 | BUY | ASTERUSDT | entry=0.680000 | qty=224.084654 | capital=152.38 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
2026-04-14 11:36:58 | SELL | SUIUSDT | reason=time_exit | price=0.954900 | qty=161.812714 | pnl=1.8608 | pnl_net=1.5537 | profit_pct=1.22% | time=121.0m
2026-04-14 11:43:54 | BUY | UUSDT | entry=0.999300 | qty=152.539653 | capital=152.43 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
2026-04-14 12:29:33 | SELL | ASTERUSDT | reason=time_exit | price=0.674000 | qty=224.084654 | pnl=-1.3445 | pnl_net=-1.6479 | profit_pct=-0.88% | time=60.6m
2026-04-14 12:32:40 | BUY | FETUSDT | entry=0.229900 | qty=662.991792 | capital=152.42 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 12:40:41 | SELL | NEARUSDT | reason=time_exit | price=1.391000 | qty=110.187109 | pnl=0.7713 | pnl_net=0.4655 | profit_pct=0.51% | time=90.7m
2026-04-14 12:43:48 | BUY | TRUMPUSDT | entry=2.792000 | qty=54.597866 | capital=152.44 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 13:16:40 | SELL | UUSDT | reason=time_exit | price=0.999500 | qty=152.539653 | pnl=0.0305 | pnl_net=-0.2744 | profit_pct=0.02% | time=92.8m
2026-04-14 13:20:03 | BUY | TAOUSDT | entry=245.500000 | qty=0.620922 | capital=152.44 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 13:54:11 | SELL | FETUSDT | reason=time_exit | price=0.227800 | qty=662.991792 | pnl=-1.3923 | pnl_net=-1.6957 | profit_pct=-0.91% | time=81.5m
2026-04-14 13:56:42 | BUY | ENJUSDT | entry=0.053160 | qty=2867.446528 | capital=152.43 | strategy=mean_reversion | risk_mode=aggressive | tp=5.69% | sl=-2.00%
2026-04-14 14:00:00 | SELL | TAOUSDT | reason=stop_loss | price=240.200000 | qty=0.620922 | pnl=-3.2909 | pnl_net=-3.5925 | profit_pct=-2.16% | time=39.9m
2026-04-14 14:03:02 | BUY | TAOUSDT | entry=240.100000 | qty=0.634877 | capital=152.43 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 14:06:07 | PARTIAL SELL | ENJUSDT | price=0.055870 | qty=1433.723264 | profit_pct=5.10%
2026-04-14 14:16:15 | SELL | TRUMPUSDT | reason=time_exit | price=2.813000 | qty=54.597866 | pnl=1.1466 | pnl_net=0.8405 | profit_pct=0.75% | time=92.4m
2026-04-14 14:21:58 | SELL | ENJUSDT | reason=take_profit | price=0.056420 | qty=1433.723264 | pnl=4.6739 | pnl_net=4.5168 | profit_pct=6.13% | time=25.3m
2026-04-14 14:21:59 | BUY | BNBUSDT | entry=620.080000 | qty=0.294996 | capital=182.92 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
2026-04-14 14:37:54 | BUY | AVAXUSDT | entry=9.350000 | qty=15.651026 | capital=146.34 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 15:35:27 | SELL | TAOUSDT | reason=time_exit | price=243.100000 | qty=0.634877 | pnl=1.9046 | pnl_net=1.5979 | profit_pct=1.25% | time=92.4m
2026-04-14 15:38:37 | SELL | BNBUSDT | reason=time_exit | price=616.090000 | qty=0.294996 | pnl=-1.1770 | pnl_net=-1.5417 | profit_pct=-0.64% | time=76.6m
2026-04-14 15:38:38 | SELL | AVAXUSDT | reason=time_exit | price=9.290000 | qty=15.651026 | pnl=-0.9391 | pnl_net=-1.2308 | profit_pct=-0.64% | time=60.7m
2026-04-14 15:41:10 | BUY | XRPUSDT | entry=1.358200 | qty=157.12574 | capital=213.41 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
2026-04-14 15:44:26 | BUY | ASTERUSDT | entry=0.664000 | qty=257.118289 | capital=170.73 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 15:50:48 | BUY | LINKUSDT | entry=8.970000 | qty=15.226448 | capital=136.58 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 17:05:38 | SELL | ASTERUSDT | reason=time_exit | price=0.660000 | qty=257.118289 | pnl=-1.0285 | pnl_net=-1.3689 | profit_pct=-0.60% | time=81.2m
2026-04-14 17:12:05 | SELL | XRPUSDT | reason=time_exit | price=1.359500 | qty=157.125740 | pnl=0.2043 | pnl_net=-0.2228 | profit_pct=0.10% | time=90.9m
2026-04-14 17:23:23 | SELL | LINKUSDT | reason=time_exit | price=8.980000 | qty=15.226448 | pnl=0.1523 | pnl_net=-0.1211 | profit_pct=0.11% | time=92.6m
