symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,result_net,risk_per_trade_used,is_holiday_ar,holiday_name_ar,is_holiday_eu,holiday_name_eu,is_holiday_asia,holiday_name_asia,is_good_friday,liquidity_mode,ai_trade_decision,ai_context_risk,trade_filter_reason
UUSDT,28.57142857142857,2.430105781021336,0,-0.000276000000000054,1,0.013664955999998497,1776092369,14,0,0.8,bear,mean_reversion,normal,0.00011428571428570169,low,us,0,,live_ai_risk_v3,0.013664955999998497,0.13658123490193536,0.13659489985793533,0.2731761347598707,-0.2595111787598722,0.020010005002499047,0.0,0,0.02,0,,0,,0,,0,normal,0,normal,ok
ZECUSDT,22.859626249456724,0.1869065484360521,0,-11.005400000000009,0,-3.537154529999999,1776093038,15,0,0.8,bear,mean_reversion,normal,3.1207142857142895,low,us,0,,live_ai_risk_v3,-3.537154529999999,0.1519466238284031,0.1484094692984031,0.3003560931268062,-3.8375106231268052,0.508782900346774,-2.3278949462793466,0,0.02,0,,0,,0,,0,normal,1,normal,ok
TAOUSDT,16.96428571428558,3.446699591610464,0,-6.984000000000009,1,0.8969699999999999,1776094682,15,0,0.8,sideways,mean_reversion,conservative,1.3571428571428694,low,us,0,,live_ai_risk_v3,0.8969699999999999,0.1519466238284031,0.1528435938284031,0.3047902176568062,0.5921797823431938,0.5903187721369539,-1.1019283746556408,1,0.01,0,,0,,0,,0,normal,0,conservative,ok
ENJUSDT,14.055636896046877,3.9388928556540868,0,-0.001625399999999999,1,1.4390331684299866,1776098096,16,0,0.8,sideways,mean_reversion,conservative,0.0013857142857142853,high,us,0,,live_ai_risk_v3,1.4390331684299866,0.1830188547685934,0.18445788793702336,0.36747674270561675,1.07155642572437,3.192756730998334,0.0,1,0.01,0,,0,,0,,0,normal,0,conservative,ok
GIGGLEUSDT,17.406542056074784,1.2493039359994562,0,-2.941600000000001,1,1.7110105199999972,1776098307,16,0,0.8,sideways,mean_reversion,conservative,1.0664285714285708,high,us,0,,live_ai_risk_v3,1.7110105199999972,0.08840220429027766,0.09011321481027768,0.17851541910055535,1.5324951008994419,4.3817204301075146,-0.3225806451613025,1,0.01,0,,0,,0,,0,normal,0,conservative,ok
BROCCOLI714USDT,18.26741996233521,1.2998362503147611,1,0.0008524000000000032,0,-3.359070488549996,1776100959,17,0,0.8,bull,mean_reversion,aggressive,0.0008335714285714293,high,us,0,,live_ai_risk_v3,-3.359070488549996,0.1591239677224998,0.15576489723394976,0.3148888649564495,-3.6739593535064454,0.0,-2.110977080820263,0,0.025,0,,0,,0,,0,normal,1,aggressive,ok
BROCCOLI714USDT,20.507399577166993,2.3536694128778204,1,0.0002380000000000021,1,0.9336607854700083,1776101381,17,0,0.8,bull,mean_reversion,aggressive,0.0007035714285714294,high,us,0,,live_ai_risk_v3,0.9336607854700083,0.21340817953427402,0.21434184031974401,0.42775001985401806,0.5059107656159902,2.249999999999995,0.0,1,0.025,0,,0,,0,,0,normal,1,aggressive,ok
ETHUSDT,72.97297297297297,3.4266939105402354,1,21.25980000000027,0,-0.5555076800000153,1776101608,17,0,0.75,bull,breakout,normal,6.245714285714159,low,us,0,,live_ai_risk_v3,-0.5555076800000153,0.1707265436274192,0.1701710359474192,0.3408975795748384,-0.8964052595748537,0.0,-0.759363546974177,0,0.02,0,,0,,0,,0,normal,1,normal,ok
LINKUSDT,71.42857142857167,3.4621104598454533,1,0.09800000000000075,0,-1.0694280100000044,1776101610,17,0,0.75,bull,breakout,normal,0.029285714285714803,low,us,0,,live_ai_risk_v3,-1.0694280100000044,0.13658123490193536,0.13551180689193534,0.2720930417938707,-1.3415210517938752,0.0,-1.1185682326621884,0,0.02,0,,0,,0,,0,normal,1,normal,ok
DASHUSDT,6.802721088435874,1.6367767574837324,0,-1.0033999999999992,1,0.6837598799999989,1776104797,18,0,0.8,bear,mean_reversion,normal,0.20428571428571374,low,us,0,,live_ai_risk_v3,0.6837598799999989,0.1519466238284031,0.1526303837084031,0.30457700753680617,0.3791828724631927,0.4499999999999993,-0.649999999999995,1,0.02,0,,0,,0,,0,normal,0,normal,ok
