symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us
XRPUSDT,14.67391304347872,1.8559493825165951,0,-0.018769999999999953,1,0.0312,1775137075,13,3,0.8,bear,mean_reversion,normal,0.002928571428571455,low,us,0,
TRXUSDT,38.88888888888837,3.6680632600280125,1,6.0000000000060005e-06,0,-0.3797,1775139600,14,3,0.75,bull,breakout,normal,0.00036428571428570984,low,us,0,
REZUSDT,34.567901234567884,0.5384640534577783,1,0.0001075999999999998,0,-3.5457,1775140569,14,3,0.7,bull,trend,normal,0.00014214285714285712,high,us,0,
EDENUSDT,27.777777777777757,0.0,1,0.00033199999999999896,1,7.5528,1775141406,14,3,0.8,bull,mean_reversion,aggressive,0.0003357142857142869,medium,us,0,
TRXUSDT,30.00000000000027,1.5188811065574686,0,-0.0006579999999999919,0,-0.4516,1775142454,15,3,0.7,sideways,trend,conservative,0.00041428571428571225,low,us,0,
ARBUSDT,34.61538461538447,1.7069194384268902,1,0.0005040000000000044,0,-0.4789,1775146041,16,3,0.75,sideways,breakout,conservative,0.00034285714285714274,low,us,0,
PENGUUSDT,38.27160493827171,3.217920711806795,1,1.3159999999999908e-05,1,0.4851,1775146801,16,3,0.75,sideways,breakout,conservative,2.2357142857142788e-05,low,us,0,
PEPEUSDT,45.45454545454531,1.551896783453063,1,2.4799999999999746e-08,0,0.0,1775147005,16,3,0.75,sideways,breakout,conservative,1.714285714285713e-08,low,us,0,
BMTUSDT,20.51835853131749,1.5259651617976424,1,0.00027180000000000086,0,-1.6828,1775150398,17,3,0.8,bull,mean_reversion,aggressive,0.0008892857142857145,high,us,0,
CTSIUSDT,25.405092592592624,0.4685063186284718,1,0.0053652000000000005,0,-8.5526,1775151131,17,3,0.8,bull,mean_reversion,aggressive,0.003425714285714286,high,us,0,
CTSIUSDT,33.03009097270821,0.360977836462394,1,0.0032431999999999947,1,12.4225,1775151976,17,3,0.7,bull,trend,normal,0.0028171428571428583,high,us,0,
FLOWUSDT,23.27586206896568,2.468390952909725,0,-0.0006503999999999989,0,-0.3549,1775152374,17,3,0.8,bear,mean_reversion,normal,0.00011928571428571389,low,us,0,
CHRUSDT,36.36363636363653,0.014044832064279578,1,0.0002440000000000029,1,0.8506,1775153168,18,3,0.7,bull,trend,normal,0.0001928571428571444,medium,us,0,
ARPAUSDT,20.26143790849676,0.5032004823105095,1,0.0001633999999999993,1,0.906,1775154034,18,3,0.8,bull,mean_reversion,aggressive,0.00023714285714285677,medium,us,0,
FIDAUSDT,39.16849015317288,1.6529128961002861,1,0.0005366000000000017,1,20.0716,1775154894,18,3,0.75,bull,breakout,normal,0.0009121428571428567,high,us,0,
BMTUSDT,25.714285714285566,1.3032844350675883,0,-0.0004976000000000008,0,-3.0565,1775157478,19,3,0.8,sideways,mean_reversion,conservative,0.00013642857142857133,low,us,0,
IOTAUSDT,37.49999999999993,3.6807425143231747,0,-0.00022599999999999704,1,0.3373,1775158792,19,3,0.7,sideways,trend,conservative,0.0002500000000000002,low,us,0,
MBLUSDT,37.49999999999966,0.3301498738210139,0,-2.7999999999999596e-06,1,0.1735,1775159219,19,3,0.7,sideways,trend,conservative,1.9285714285714365e-06,low,us,0,
WUSDT,39.999999999999865,2.7642197734165737,0,-0.0001920000000000012,0,0.0,1775159662,19,3,0.7,sideways,trend,conservative,5.714285714285717e-05,low,us,0,
MANTRAUSDT,20.512820512820227,2.1840502812390636,0,-0.00024380000000000235,1,0.7567,1775160767,20,3,0.8,bear,mean_reversion,normal,5.571428571428555e-05,low,us,0,
TURTLEUSDT,37.49999999999997,0.0,1,6.799999999999168e-05,1,2.23,1775163907,21,3,0.7,bull,trend,normal,0.0004000000000000001,low,off,0,
CHZUSDT,27.72277227722755,4.313868441415619,0,-0.0005990000000000023,0,-1.4067,1775165675,21,3,0.8,bear,mean_reversion,normal,0.0001228571428571433,low,off,0,
XPLUSDT,22.297297297297277,1.2568982233997965,0,-0.009434000000000012,1,0.1438,1775168094,22,3,0.8,sideways,mean_reversion,conservative,0.007371428571428571,high,off,0,
POLUSDT,38.46153846153821,1.035445069224104,0,-7.599999999999274e-05,1,0.4524,1775168566,22,3,0.7,sideways,trend,conservative,0.00020714285714285515,low,off,0,
FETUSDT,34.21052631578938,0.03443434738409,0,-0.001345999999999986,0,-0.3795,1775173946,23,3,0.7,sideways,trend,conservative,0.0005571428571428573,low,off,0,
ZBTUSDT,22.123893805309734,2.1169289950158103,0,-0.004501999999999992,0,-4.9566,1775174509,0,4,0.8,sideways,mean_reversion,conservative,0.001107142857142854,medium,asia,0,
ROBOUSDT,39.72602739726028,1.3769242053788309,1,5.639999999999812e-05,1,1.9384,1775175248,0,4,0.7,bull,trend,normal,9.428571428571416e-05,low,asia,0,
JSTUSDT,25.86872586872593,0.003757365040643327,0,-0.0009270000000000111,1,0.2264,1775176547,0,4,0.8,sideways,mean_reversion,conservative,0.0003007142857142881,low,asia,0,
ANKRUSDT,27.27272727272755,3.071030538918743,0,-7.999999999999934e-05,1,0.8778,1775177986,0,4,0.8,bear,mean_reversion,normal,2.2857142857142855e-05,low,asia,0,
HBARUSDT,37.49999999999988,0.02961676102660317,0,-9.760000000000324e-05,1,0.5024,1775181048,1,4,0.7,sideways,trend,conservative,0.0001842857142857162,low,asia,0,
ONTUSDT,18.62828111769683,0.014805953043282942,0,-0.0033031999999999784,,,1775181704,2,4,0.8,sideways,mean_reversion,conservative,0.0015714285714285708,medium,asia,0,
FUNUSDT,27.272727272727295,4.204883919568911,0,-1.465999999999989e-05,,,1775183975,2,4,0.8,sideways,mean_reversion,conservative,1.0071428571428607e-05,low,asia,0,
