symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used
ALGOUSDT,25.0000000000001,0.974605418588997,0,-0.0035299999999999915,1,1.7141874455999981,1775216159,11,4,0.8,sideways,mean_reversion,conservative,0.0011928571428571444,medium,europe,0,,,,,,,,1.2037833190025782,0.0,
CHZUSDT,37.66233766233827,0.09347235735781029,0,-0.00013200000000000017,0,-1.5068783070600131,1775220376,12,4,0.7,sideways,trend,conservative,0.00011785714285714276,low,europe,0,,,,,,,,0.0,-1.0582010582010675,
ONGUSDT,33.30188679245282,0.13708450753642634,1,0.002104800000000004,0,-3.534412717500008,1775220952,12,4,0.7,bull,trend,normal,0.003395,high,europe,0,,,,,,,,0.0,-2.060641742714164,
CETUSUSDT,39.86013986013994,0.008888988274308838,1,0.0005490000000000043,0,-1.2598425196000143,1775226021,14,4,0.7,bull,trend,normal,0.00035642857142857226,medium,us,0,,,,,,,,,,0.02
HBARUSDT,26.712328767122884,0.40306348145682697,0,-0.0010456000000000076,1,0.09145992909998993,1775227254,14,4,0.8,bear,mean_reversion,normal,0.00017214285714285484,low,us,0,,,,,,,,,,0.02
IDUSDT,27.27272727272704,3.318598933211517,0,-0.0008739999999999928,0,0.0,1775228288,14,4,0.8,bear,mean_reversion,normal,0.0001857142857142851,low,us,0,,,,,,,,,,0.02
CTSIUSDT,33.01642178046676,0.28658647914839813,1,0.0013244000000000034,0,-4.8614574182900006,1775229671,15,4,0.7,bull,trend,normal,0.0018128571428571427,high,us,0,,,,,,,,,,0.02
FETUSDT,27.16049382716035,2.693993762932558,0,-0.0013819999999999943,0,-0.9286618824999914,1775230705,15,4,0.8,sideways,mean_reversion,normal,0.0013428571428571417,low,us,0,,,,,,,,,,0.02
FIDAUSDT,27.368421052631533,0.2658185637850215,1,0.00016159999999999786,0,-3.386680433799977,1775230872,15,4,0.8,bull,mean_reversion,aggressive,0.0007935714285714282,high,us,0,,,,,,,,,,0.025
VETUSDT,21.052631578946944,6.123001595761695,0,-9.024000000000011e-05,1,0.0557572237560074,1775231214,15,4,0.8,sideways,mean_reversion,normal,1.4928571428571489e-05,low,us,0,,,,,,,,,,0.02
DYMUSDT,29.999999999999886,1.5112835869697718,0,-0.0005240000000000002,0,-0.9174311926999945,1775233103,16,4,0.8,sideways,mean_reversion,normal,9.999999999999964e-05,low,us,0,,,,,,,,,,0.02
FIDAUSDT,26.415094339622684,2.2165660311098065,0,-0.0010697999999999992,1,0.08672086720999646,1775233776,16,4,0.8,sideways,mean_reversion,normal,0.0005257142857142848,high,us,0,,,,,,,,,,0.02
OGNUSDT,15.667311411992245,0.16459232922906608,0,-4.1599999999999276e-05,0,-2.734883720799997,1775235604,17,4,0.8,sideways,mean_reversion,normal,0.0007257142857142854,high,us,0,,,,,,,,,,0.02
IDUSDT,22.22222222222257,1.5349187716776198,0,-0.000794000000000003,1,0.8479495267999949,1775236434,17,4,0.8,bear,mean_reversion,normal,0.0001857142857142851,low,us,0,,,,,,,,,,0.02
OGNUSDT,17.391304347825994,2.4643979843138655,0,-0.00046659999999999757,0,-0.8181474480000234,1775237938,17,4,0.8,sideways,mean_reversion,normal,0.0002542857142857141,medium,us,0,,,,,,,,,,0.02
MBLUSDT,25.00000000000027,1.6437115525387385,0,-7.860000000000159e-06,0,-0.44437219251299476,1775238273,17,4,0.8,sideways,mean_reversion,normal,1.9285714285714522e-06,low,us,0,,,,,,,,,,0.02
SEIUSDT,25.00000000000007,0.4276822476747548,1,0.0004019999999999996,0,-1.055686388400012,1775240474,18,4,0.8,bull,mean_reversion,aggressive,0.0003214285714285727,low,us,0,,,,,,,,,,0.025
ALTUSDT,22.15568862275444,1.4567211104902063,1,1.560000000000103e-05,0,-3.7840585651499987,1775243069,19,4,0.8,bull,mean_reversion,aggressive,0.00022714285714285724,high,us,0,,,-3.7840585651499987,0.17230080000000011,0.16851674143485013,0.3408175414348502,-4.124876106584849,0.0,-2.19619326500732,0.025
